pv,demand
0,2.328
0,2.238
0,2.168
0,2.075
0,2.049
0,2.109
0,2.179
0.009,2.319
0.103,2.451
0.274,2.529
0.52,2.549
0.717,2.552
0.789,2.488
0.717,2.431
0.511,2.448
0.233,2.558
0.027,2.764
0,2.973
0,3.009
0,2.902
0,2.722
0,2.545
0,2.534
0,2.339
0,2.213
0,2.094
0,2.072
0,2.057
0,2.137
0,2.425
0,2.86
0.009,3.275
0.099,3.534
0.229,3.671
0.395,3.675
0.552,3.66
0.632,3.564
0.587,3.497
0.439,3.476
0.22,3.535
0.022,3.667
0,3.805
0,3.727
0,3.506
0,3.212
0,2.942
0,2.882
0,2.653
0,2.499
0,2.358
0,2.294
0,2.221
0,2.269
0,2.568
0,2.973
0.009,3.38
0.081,3.622
0.157,3.75
0.278,3.826
0.35,3.919
0.309,3.88
0.251,3.796
0.202,3.718
0.139,3.731
0.031,3.784
0,3.853
0,3.759
0,3.539
0,3.242
0,2.954
0,2.897
0,2.644
0,2.469
0,2.365
0,2.295
0,2.262
0,2.334
0,2.625
0,3.032
0.009,3.422
0.09,3.701
0.188,3.777
0.332,3.724
0.475,3.686
0.552,3.578
0.516,3.533
0.372,3.532
0.175,3.587
0.027,3.691
0,3.815
0,3.71
0,3.49
0,3.223
0,2.956
0,2.887
0,2.649
0,2.472
0,2.351
0,2.302
0,2.264
0,2.32
0,2.581
0,2.955
0.009,3.346
0.081,3.607
0.126,3.779
0.188,3.83
0.269,3.869
0.318,3.786
0.296,3.672
0.22,3.621
0.135,3.595
0.031,3.658
0,3.756
0,3.658
0,3.436
0,3.157
0,2.873
0,2.838
0,2.603
0,2.448
0,2.308
0,2.234
0,2.156
0,2.181
0,2.28
0,2.397
0.009,2.608
0.099,2.801
0.242,2.958
0.489,3.017
0.731,2.99
0.839,2.858
0.771,2.77
0.534,2.711
0.247,2.781
0.036,2.961
0,3.177
0,3.168
0,3.05
0,2.871
0,2.682
0,2.666
0,2.472
0,2.337
0,2.214
0,2.181
0,2.098
0,2.128
0,2.284
0,2.493
0.013,2.759
0.103,2.969
0.26,3.087
0.489,3.059
0.704,3.014
0.794,2.939
0.74,2.88
0.538,2.875
0.247,2.971
0.036,3.151
0,3.344
0,3.282
0,3.105
0,2.909
0,2.703
0,2.717
0,2.522
0,2.404
0,2.251
0,2.215
0,2.153
0,2.177
0,2.267
0,2.396
0.013,2.606
0.09,2.807
0.202,2.992
0.368,3.124
0.511,3.217
0.565,3.138
0.507,3.037
0.359,2.976
0.17,2.99
0.036,3.094
0,3.234
0,3.25
0,3.139
0,2.963
0,2.772
0,2.805
0,2.6
0,2.487
0,2.34
0,2.297
0,2.285
0,2.388
0,2.759
0,3.408
0.013,3.942
0.081,4.222
0.112,4.312
0.17,4.382
0.238,4.428
0.269,4.336
0.238,4.35
0.184,4.287
0.121,4.253
0.036,4.273
0,4.289
0,4.199
0,3.977
0,3.684
0,3.382
0,3.293
0,3.034
0,2.889
0,2.746
0,2.698
0,2.648
0,2.759
0,3.11
0,3.697
0.013,4.174
0.094,4.404
0.188,4.454
0.332,4.495
0.453,4.439
0.498,4.309
0.484,4.255
0.372,4.205
0.22,4.244
0.045,4.351
0,4.467
0,4.389
0,4.177
0,3.876
0,3.607
0,3.561
0,3.291
0,3.133
0,2.992
0,2.962
0,2.871
0,2.924
0,3.228
0,3.809
0.013,4.3
0.099,4.46
0.215,4.387
0.359,4.331
0.439,4.285
0.363,4.228
0.287,4.22
0.224,4.155
0.152,4.162
0.058,4.255
0,4.313
0,4.227
0,4.018
0,3.684
0,3.369
0,3.279
0,3.025
0,2.826
0,2.69
0,2.629
0,2.601
0,2.699
0,3.053
0,3.638
0.013,4.158
0.112,4.333
0.296,4.217
0.52,4.137
0.695,4.11
0.767,4.064
0.682,4.049
0.475,4.029
0.233,4.014
0.049,4.125
0,4.258
0,4.191
0,3.982
0,3.688
0,3.38
0,3.273
0,3.026
0,2.866
0,2.742
0,2.653
0,2.618
0,2.679
0,3.004
0,3.604
0.013,4.058
0.09,4.265
0.179,4.304
0.291,4.293
0.381,4.218
0.408,4.069
0.368,3.939
0.274,3.923
0.157,3.906
0.045,4.002
0,4.124
0,4.083
0,3.802
0,3.531
0,3.301
0,3.204
0,2.954
0,2.754
0,2.609
0,2.549
0,2.477
0,2.506
0,2.687
0,2.856
0.013,3.117
0.117,3.315
0.327,3.412
0.637,3.365
0.883,3.25
0.987,3.137
0.87,3.076
0.587,3.084
0.274,3.166
0.054,3.304
0,3.498
0,3.465
0,3.296
0,3.111
0,2.899
0,2.884
0,2.641
0,2.48
0,2.313
0,2.26
0,2.212
0,2.224
0,2.337
0,2.452
0.013,2.667
0.099,2.894
0.224,3.097
0.444,3.247
0.61,3.357
0.592,3.31
0.48,3.272
0.35,3.214
0.188,3.216
0.049,3.257
0,3.358
0,3.364
0,3.244
0,3.082
0,2.935
0,3.014
0,2.829
0,2.718
0,2.592
0,2.531
0,2.527
0,2.649
0,3.071
0,3.749
0.013,4.286
0.103,4.523
0.26,4.542
0.453,4.469
0.614,4.443
0.686,4.27
0.628,4.198
0.48,4.185
0.251,4.264
0.054,4.371
0,4.446
0,4.35
0,4.12
0,3.823
0,3.55
0,3.41
0,3.206
0,3.035
0,2.896
0,2.852
0,2.806
0,2.881
0,3.259
0,3.86
0.013,4.373
0.103,4.548
0.26,4.509
0.471,4.405
0.668,4.35
0.753,4.322
0.682,4.377
0.453,4.355
0.22,4.324
0.058,4.338
0,4.454
0,4.372
0,4.131
0,3.838
0,3.505
0,3.385
0,3.136
0,3.019
0,2.862
0,2.785
0,2.761
0,2.843
0,3.222
0,3.811
0.013,4.327
0.112,4.544
0.278,4.57
0.489,4.53
0.673,4.493
0.744,4.271
0.673,4.221
0.489,4.233
0.265,4.271
0.058,4.374
0,4.49
0,4.417
0,4.209
0,3.925
0,3.63
0,3.522
0,3.284
0,3.158
0,3.043
0,2.978
0,2.929
