heat_demand_kW,price,temperature
2.216,0.1,-1.485
2.228,0.01,-1.115
2.216,0.02,-0.849
2.188,0,-0.852
2.172,-0.01,-0.568
2.2,-0.01,-0.021
2.28,0,0.529
2.324,0,1.801
2.324,0,3.133
2.268,0.04,4.224
2.18,0.06,5.192
2.096,0.54,5.906
2.012,2.24,6.072
1.928,2.58,5.713
1.864,5.29,4.67
1.86,22.22,3.922
1.952,47.61,3.935
2.124,56.53,3.982
2.16,59.06,3.675
2.052,55.01,3.375
1.984,48.76,3.06
2.02,41.36,2.892
2.068,45.95,2.816
2.072,35.55,2.75
2.136,29.22,2.57
2.18,19.58,2.012
2.2,27.57,1.262
2.204,15.67,1.095
2.22,9.69,1.296
2.28,27.59,1.539
2.392,45.09,1.562
2.472,65.89,1.657
2.5,70.99,2.274
2.468,69.95,2.97
2.396,70.63,3.187
2.328,73.97,2.895
2.26,77.85,2.509
2.184,78.6,1.908
2.132,80.4,1.15
2.144,81,0.497
2.268,83.56,0.111
2.484,82.96,-0.188
2.54,77.28,-0.48
2.432,68.93,-0.929
2.36,58.85,-1.609
2.416,47.84,-2.344
2.48,41.05,-3.002
2.496,20.42,-3.473
2.58,11.43,-3.771
2.644,10.2,-3.716
2.672,9.65,-3.457
2.68,9.4,-3.167
2.704,9.96,-2.921
2.78,10.6,-2.903
2.916,21.92,-3.103
3.012,43.27,-2.879
3.044,61.92,-1.958
3.004,64.35,-1.021
2.912,59.67,-0.606
2.824,57.08,-0.798
2.736,55.85,-1.042
2.636,55.94,-1.126
2.568,61.91,-1.282
2.576,70.1,-1.632
2.712,76.81,-1.943
2.96,84.3,-2.208
3.016,85.88,-2.509
2.872,82.35,-2.864
2.776,73.23,-3.385
2.828,67.41,-3.857
2.888,65,-4.16
2.892,58.12,-4.304
2.976,57.3,-4.345
3.028,50.46,-4.49
3.044,40,-4.677
3.036,25.48,-4.784
3.044,35,-4.816
3.108,57.73,-4.769
3.244,72.65,-4.779
3.324,85.02,-4.168
3.34,91.47,-2.817
3.272,94.2,-1.887
3.152,91.54,-1.393
3.036,89.95,-1.135
2.92,86.29,-1.11
2.792,85.96,-1.404
2.7,92.11,-1.856
2.688,98.62,-2.035
2.812,104.16,-1.84
3.044,104.93,-1.478
3.076,102.9,-1.12
2.912,104.94,-0.881
2.792,100.1,-0.748
2.824,93.22,-0.638
2.864,90.77,-0.476
2.848,88.62,-0.336
2.908,86.08,-0.244
2.94,80.51,-0.156
2.936,77.01,-0.12
2.912,72.95,-0.087
2.9,72.74,0.036
2.944,75.25,0.194
3.056,87.82,0.343
3.116,95.99,0.492
3.116,98.38,0.601
3.04,97.86,0.627
2.916,96.91,0.817
2.8,98.39,1.3
2.684,94.62,1.886
2.56,97.01,2.012
2.472,103.5,1.828
2.456,106.25,1.508
2.568,108.53,1.224
2.776,111.82,1.146
2.812,110.58,0.95
2.66,106.93,0.872
2.552,102.93,0.892
2.588,95.79,0.896
2.628,94.92,0.921
2.616,86.8,0.902
2.68,82.25,0.78
2.72,80.2,0.65
2.724,76.13,0.465
2.708,73.01,0.219
2.708,73.01,-0.07
2.764,74.59,-0.598
2.88,75.1,-1.344
2.952,81.39,-1.273
2.964,88.4,-0.295
2.908,92.23,0.544
2.804,97.3,0.948
2.708,100.43,1.134
2.608,99.16,0.996
2.504,94.66,0.659
2.432,92.47,-0.078
2.432,94.22,-0.684
2.556,98.29,-0.982
2.784,104.3,-1.272
2.832,103.63,-1.536
2.696,99,-1.72
2.6,92.14,-1.839
2.648,88,-1.952
2.708,86.57,-2.141
2.708,79.87,-2.466
2.784,84.08,-2.77
2.836,79.82,-3.175
2.856,76.76,-3.445
2.848,73.46,-3.804
2.856,71.86,-4.336
2.92,72.08,-4.882
3.052,74.9,-5.229
3.132,77.69,-4.552
3.148,81.79,-2.952
3.088,84.86,-1.616
2.98,87.14,-1.09
2.872,89.13,-0.752
2.76,88.66,-0.589
2.644,84.81,-0.787
2.56,84.34,-1.635
2.548,88.01,-2.701
2.668,93.42,-3.031
2.888,101.77,-3.195
